Client_Pole_ID,ROAMES_Pole_ID,Last_Capture_Timestamp,name,altitudeMode,WKT
S482935,,Sep  3 2021  1:46AM,ROAMES Pole Id: 18598648,absolute,"LINESTRING Z (115.5653151452538 -28.34122383384415 291.51, 115.56531571509102 -28.341223180992703 302.077)"
S482938,,Sep  3 2021  1:46AM,ROAMES Pole Id: 18598649,absolute,"LINESTRING Z (115.56524329929532 -28.343260255384816 295.27, 115.56523917388621 -28.34325828057546 305.062)"
S482931,,Sep  3 2021  1:46AM,ROAMES Pole Id: 18598657,absolute,"LINESTRING Z (115.56541906456248 -28.338833930721876 287.43, 115.5654205845145 -28.338833170533736 297.674)"
S482932,,Sep  3 2021  1:46AM,ROAMES Pole Id: 18598658,absolute,"LINESTRING Z (115.56551406992142 -28.336486667612785 284.28, 115.56551573991813 -28.33648612560732 294.719)"
S482900,,Sep  3 2021  1:46AM,ROAMES Pole Id: 18598690,absolute,"LINESTRING Z (115.56228460375357 -28.328442436516923 292.71, 115.5622870080452 -28.328442651384883 302.824)"
S482899,,Sep  3 2021  1:46AM,ROAMES Pole Id: 18598691,absolute,"LINESTRING Z (115.56234063335111 -28.32683416028853 290.86, 115.56234461325394 -28.32683325457044 300.22)"
S482898,,Sep  3 2021  1:46AM,ROAMES Pole Id: 18598729,absolute,"LINESTRING Z (115.562215512742 -28.33035777745236 288.22, 115.56221181473992 -28.33035970599143 299.144)"
S482933,,Sep  3 2021  1:46AM,ROAMES Pole Id: 18598731,absolute,"LINESTRING Z (115.56561257112072 -28.334139891596138 282.27, 115.56561552340638 -28.334141086902438 293)"
S483227,,Sep  3 2021  1:48AM,ROAMES Pole Id: 18597300,absolute,"LINESTRING Z (115.60373216012165 -28.38422207266246 304.7, 115.60373362701469 -28.38422227722567 314.368)"
S483256,,Sep  3 2021  1:48AM,ROAMES Pole Id: 18597301,absolute,"LINESTRING Z (115.60612144987095 -28.38394682276476 306.41, 115.60612350038814 -28.38394844122193 316.032)"
S483257,,Sep  3 2021  1:48AM,ROAMES Pole Id: 18597305,absolute,"LINESTRING Z (115.60812549858072 -28.383712930151404 308.14, 115.60812782621466 -28.3837136488777 318.304)"
S483217,,Sep  3 2021  1:48AM,ROAMES Pole Id: 18597307,absolute,"LINESTRING Z (115.6036416532247 -28.386050431077077 302.07, 115.60364089853957 -28.38605194861994 311.792)"
S483228,,Sep  3 2021  1:48AM,ROAMES Pole Id: 18597375,absolute,"LINESTRING Z (115.610334093476 -28.383461915245974 307.74, 115.61033183107206 -28.38345775857316 317.131)"
S1072227,,Sep  3 2021  1:52AM,ROAMES Pole Id: 18597313,absolute,"LINESTRING Z (115.6240438123107 -28.40848938439123 306.86, 115.62404220518131 -28.40849052339461 316.845)"
S1072218,,Sep  3 2021  1:52AM,ROAMES Pole Id: 18597314,absolute,"LINESTRING Z (115.62554225911477 -28.40909181210459 303.8, 115.62554438697771 -28.40908908085642 313.445)"
S1072214,,Sep  3 2021  1:52AM,ROAMES Pole Id: 18597349,absolute,"LINESTRING Z (115.61738791996619 -28.403769829759888 325.12, 115.6173896207361 -28.403770912012565 335.205)"
S1072216,,Sep  3 2021  1:52AM,ROAMES Pole Id: 18597369,absolute,"LINESTRING Z (115.62070541154237 -28.406551911854915 315.07, 115.62070015936422 -28.406549972370016 324.803)"
S1072215,,Sep  3 2021  1:52AM,ROAMES Pole Id: 18597370,absolute,"LINESTRING Z (115.61918076398466 -28.40527188874479 319.03, 115.6191795368651 -28.40527048640447 328.958)"
S1072224,,Sep  3 2021  1:52AM,ROAMES Pole Id: 18597372,absolute,"LINESTRING Z (115.62206978255146 -28.40770428544002 310.6, 115.62207226072206 -28.40770682857869 320.053)"
S483282,,Sep  3 2021  1:55AM,ROAMES Pole Id: 18597343,absolute,"LINESTRING Z (115.60343850291538 -28.400394513481814 304.97, 115.6034380750491 -28.400396007292997 314.028)"
S483275,,Sep  3 2021  1:55AM,ROAMES Pole Id: 18597397,absolute,"LINESTRING Z (115.60343583413103 -28.40254767639548 306.15, 115.60343456258168 -28.402548123647 317.629)"
S1072203,,Sep  3 2021  1:59AM,ROAMES Pole Id: 18597316,absolute,"LINESTRING Z (115.60548595880222 -28.402517870028664 308.33, 115.60548660083876 -28.402522623905885 318.688)"
S1072204,,Sep  3 2021  1:59AM,ROAMES Pole Id: 18597317,absolute,"LINESTRING Z (115.60793766333028 -28.4024770655113 311.26, 115.60793944243679 -28.402476830986615 321.466)"
S1072205,,Sep  3 2021  1:59AM,ROAMES Pole Id: 18597318,absolute,"LINESTRING Z (115.6129668486613 -28.402398960374903 318.58, 115.61296794044476 -28.40239898954392 328.415)"
S1072206,,Sep  3 2021  1:59AM,ROAMES Pole Id: 18597319,absolute,"LINESTRING Z (115.6148141130751 -28.402370927501497 322.86, 115.61481368258093 -28.40236792671977 332.852)"
S1072213,,Sep  3 2021  1:59AM,ROAMES Pole Id: 18597324,absolute,"LINESTRING Z (115.6160511258152 -28.40264899111143 328.99, 115.6160553819748 -28.402642725664077 338.595)"
